source	relation	target	gt	type	AllYes	AllNo	AllRandom
class_8	has_instance	superclass_myriapoda_1	1	P	1.0	0.0	0.58
hand_tool_1	has_instance	graver_1	1	P	1.0	0.0	0.08
beef_2	has_part	beef_loin_1	1	P	1.0	0.0	0.24
displace_3	has_instance	translate_5	1	P	1.0	0.0	0.7
cause_3	has_instance	mutagenesis_1	1	P	1.0	0.0	0.68
credo_1	has_instance	testament_1	1	P	1.0	0.0	0.86
electrical_phenomenon_1	has_instance	electric_resistance_1	1	P	1.0	0.0	0.74
leatherfish_1	type_of	filefish_1	1	P	1.0	0.0	0.17
broom_grass_1	type_of	grass_5	1	P	1.0	0.0	0.66
hungary_1	part_of	europe_1	1	P	1.0	0.0	0.28
division_gymnomycota_1	member_meronym	class_myxomycetes_1	1	P	1.0	0.0	0.64
ailanthus_silkworm_1	type_of	giant_silkworm_1	1	P	1.0	0.0	0.62
festival_2	type_of	celebration_2	1	P	1.0	0.0	0.72
genus_monomorium_1	member_meronym	monomorium_pharaonis_1	1	P	1.0	0.0	0.1
genus_pithecia_1	type_of	mammal_genus_1	1	P	1.0	0.0	0.87
cutlery_1	has_instance	spoon_3	1	P	1.0	0.0	0.62
law_enforcement_agency_1	has_instance	cid_1	1	P	1.0	0.0	0.19
baleen_whale_1	has_instance	humpback_2	1	P	1.0	0.0	0.95
biological_science_1	domain_region	tribe_3	1	P	1.0	0.0	0.55
disposition_3	has_instance	direction_1	1	P	1.0	0.0	0.06
analysis_3	domain_region	oral_phase_1	1	P	1.0	0.0	0.54
ward_3	part_of	municipality_1	1	P	1.0	0.0	0.36
compartment_2	has_instance	stall_6	1	P	1.0	0.0	0.89
wild_flower_1	has_instance	haplopappus_acaulis_1	1	P	1.0	0.0	0.63
maquis_2	type_of	resistance_6	1	P	1.0	0.0	0.37
decrease_6	has_instance	amortisation_1	1	P	1.0	0.0	0.04
family_simuliidae_1	type_of	arthropod_family_1	1	P	1.0	0.0	0.68
set_to_music_1	type_of	compose_2	1	P	1.0	0.0	0.8
causeless_1	similar_to	unintended_1	1	P	1.0	0.0	0.2
director_1	type_of	administrator_1	1	P	1.0	0.0	0.57
chordata_1	member_meronym	chordate_1	1	P	1.0	0.0	0.44
ox_1	has_part	withers_1	1	P	1.0	0.0	0.91
glyceryl_trinitrate_1	part_of	nitrospan_2	1	P	1.0	0.0	0.23
look_for_1	has_instance	browse_1	1	P	1.0	0.0	0.53
copy_4	has_instance	counterfeit_1	1	P	1.0	0.0	0.16
city_1	has_instance	taiyuan_1	1	P	1.0	0.0	0.18
first_base_1	type_of	bag_6	1	P	1.0	0.0	0.15
block_1	has_instance	filibuster_1	1	P	1.0	0.0	0.91
defoliate_1	type_of	bare_2	1	P	1.0	0.0	0.28
animal_order_1	has_instance	order_sirenia_1	1	P	1.0	0.0	0.6
flora_2	domain_region	parasite_1	1	P	1.0	0.0	0.01
adjustment_2	type_of	change_11	1	P	1.0	0.0	0.16
antarctic_ocean_1	subordinate_instance_of	ocean_1	1	P	1.0	0.0	0.29
light_7	has_instance	moon_6	1	P	1.0	0.0	0.31
artillery_1	has_instance	cannon_1	1	P	1.0	0.0	0.41
agree_1	has_instance	conciliate_2	1	P	1.0	0.0	0.5
apiaceae_1	member_meronym	genus_sanicula_1	1	P	1.0	0.0	0.85
france_1	domain_topic	prefecture_1	1	P	1.0	0.0	0.95
ground_4	type_of	hit_1	1	P	1.0	0.0	0.85
cartridge_font_1	type_of	face_16	1	P	1.0	0.0	0.22
latitude_2	has_instance	tropic_1	1	P	1.0	0.0	0.7
face_mask_1	type_of	mask_8	1	P	1.0	0.0	0.24
commerce_1	domain_region	buy_in_1	1	P	1.0	0.0	0.35
grip_5	has_instance	panhandle_3	1	P	1.0	0.0	0.34
national_institutes_of_health_1	has_part	national_library_of_medicine_1	1	P	1.0	0.0	0.02
fox_3	has_instance	alopex_lagopus_1	1	P	1.0	0.0	0.34
genus_pterostylis_1	type_of	liliopsid_genus_1	1	P	1.0	0.0	0.21
cullis_1	type_of	gutter_5	1	P	1.0	0.0	0.32
natural_object_1	has_instance	rock_3	1	P	1.0	0.0	0.17
point_system_1	type_of	system_3	1	P	1.0	0.0	0.38
computer_science_1	domain_region	soft_copy_1	1	P	1.0	0.0	0.07
lofoten_1	part_of	kingdom_of_norway_1	1	P	1.0	0.0	0.55
differ_2	has_instance	contradict_1	1	P	1.0	0.0	0.91
free_state_1	has_part	hagerstown_1	1	P	1.0	0.0	0.48
hard_boiled_egg_1	type_of	boiled_egg_1	1	P	1.0	0.0	0.52
mangosteen_2	part_of	garcinia_mangostana_1	1	P	1.0	0.0	0.97
bridge_4	has_part	contract_8	1	P	1.0	0.0	0.31
bile_duct_1	type_of	canal_2	1	P	1.0	0.0	0.66
beleaguering_1	has_instance	petersburg_2	1	P	1.0	0.0	0.88
mammal_genus_1	has_instance	genus_panthera_1	1	P	1.0	0.0	0.39
discount_5	type_of	refund_2	1	P	1.0	0.0	0.59
executive_agency_1	has_instance	joint_chiefs_1	1	P	1.0	0.0	0.83
bill_1	has_instance	impose_3	1	P	1.0	0.0	0.84
psychosexual_development_1	type_of	development_7	1	P	1.0	0.0	0.79
triumph_5	has_instance	slam_5	1	P	1.0	0.0	0.32
staph_1	type_of	cocci_1	1	P	1.0	0.0	0.43
italia_1	has_part	dolomite_alps_1	1	P	1.0	0.0	0.66
field_13	type_of	set_26	1	P	1.0	0.0	0.36
book_of_susanna_1	part_of	apocrypha_1	1	P	1.0	0.0	0.28
item_2	has_instance	custom_built_1	1	P	1.0	0.0	0.51
army_1	type_of	armed_service_1	1	P	1.0	0.0	0.97
existentialist_1	has_instance	albert_camus_1	1	P	1.0	0.0	0.16
change_posture_1	has_instance	arise_3	1	P	1.0	0.0	0.05
caesalpinia_1	member_meronym	bonduc_2	1	P	1.0	0.0	0.49
footstall_1	part_of	column_6	1	P	1.0	0.0	0.15
pile_9	type_of	column_6	1	P	1.0	0.0	0.1
genus_vesicaria_1	type_of	dilleniid_dicot_genus_1	1	P	1.0	0.0	0.58
roofing_paper_1	type_of	roofing_material_1	1	P	1.0	0.0	0.46
city_1	has_instance	portland_2	1	P	1.0	0.0	0.31
lavatera_arborea_1	type_of	bush_1	1	P	1.0	0.0	0.79
hit_1	has_instance	drive_14	1	P	1.0	0.0	0.54
music_1	domain_region	audio_cd_1	1	P	1.0	0.0	0.97
britain_1	domain_topic	estate_car_1	1	P	1.0	0.0	0.72
malay_1	type_of	asian_1	1	P	1.0	0.0	0.4
resistance_9	type_of	electrical_device_1	1	P	1.0	0.0	0.79
venus_1	subordinate_instance_of	terrestrial_planet_1	1	P	1.0	0.0	0.84
paintbrush_1	type_of	applicator_1	1	P	1.0	0.0	0.82
turki_1	type_of	asian_1	1	P	1.0	0.0	0.03
atmosphere_4	type_of	atmospheric_condition_1	1	P	1.0	0.0	0.34
reciprocating_engine_1	has_part	block_12	1	P	1.0	0.0	0.3
watercress_1	has_instance	common_watercress_1	1	P	1.0	0.0	0.41
canis_familiaris_1	type_of	canid_1	1	P	1.0	0.0	0.07
genus_swertia_1	type_of	dicot_genus_1	1	P	1.0	0.0	0.12
downhill_1	type_of	declension_3	1	P	1.0	0.0	0.94
cnidarian_1	has_part	coelenteron_1	1	P	1.0	0.0	0.96
shank_4	type_of	cylinder_2	1	P	1.0	0.0	0.06
electron_tube_1	part_of	circuit_1	1	P	1.0	0.0	0.37
chelicerata_1	member_meronym	class_merostomata_1	1	P	1.0	0.0	0.35
gustatory_cell_1	part_of	gustatory_organ_1	1	P	1.0	0.0	0.45
primitive_1	has_instance	barbarian_1	1	P	1.0	0.0	0.14
asterid_dicot_genus_1	has_instance	genus_homogyne_1	1	P	1.0	0.0	0.94
relate_5	has_instance	attach_1	1	P	1.0	0.0	0.95
programming_error_1	has_instance	syntax_error_1	1	P	1.0	0.0	0.65
family_procellariidae_1	member_meronym	petrel_1	1	P	1.0	0.0	0.49
metropolitan_1	type_of	archbishop_1	1	P	1.0	0.0	0.45
al_1	has_part	gadsden_1	1	P	1.0	0.0	0.04
genus_kobus_1	member_meronym	waterbuck_1	1	P	1.0	0.0	0.8
blood_1	has_instance	menorrhea_1	1	P	1.0	0.0	0.93
ascaris_1	member_meronym	ascaris_lumbricoides_1	1	P	1.0	0.0	0.75
crash_11	type_of	accident_1	1	P	1.0	0.0	0.87
part_7	has_instance	extremity_3	1	P	1.0	0.0	0.71
aquatic_plant_1	has_instance	awlwort_1	1	P	1.0	0.0	0.93
jurisprudence_2	domain_region	right_of_privacy_1	1	P	1.0	0.0	0.61
alpha_radiation_1	type_of	ionizing_radiation_1	1	P	1.0	0.0	0.52
volcano_2	has_instance	cameroon_1	1	P	1.0	0.0	0.68
letters_of_administration_1	type_of	instrument_7	1	P	1.0	0.0	0.85
diddle_1	has_instance	put_out_7	1	P	1.0	0.0	0.64
abdomen_1	has_part	bellybutton_1	1	P	1.0	0.0	0.6
thunnus_albacares_1	type_of	tuna_3	1	P	1.0	0.0	0.59
parquet_circle_1	type_of	seating_1	1	P	1.0	0.0	0.56
gas_tank_1	part_of	fuel_system_1	1	P	1.0	0.0	0.03
irtish_1	subordinate_instance_of	river_1	1	P	1.0	0.0	0.06
indian_summer_1	part_of	autumn_1	1	P	1.0	0.0	0.12
chari_1	part_of	africa_1	1	P	1.0	0.0	0.02
clinidae_1	type_of	fish_family_1	1	P	1.0	0.0	0.39
compensate_1	type_of	pay_1	1	P	1.0	0.0	0.73
genus_pipturus_1	member_meronym	pipturus_argenteus_1	1	P	1.0	0.0	0.23
turgor_1	type_of	state_7	1	P	1.0	0.0	0.86
plate_1	type_of	coat_1	1	P	1.0	0.0	0.46
surrebuttal_1	type_of	pleading_1	1	P	1.0	0.0	0.56
worm_wheel_1	part_of	worm_gear_1	1	P	1.0	0.0	0.36
family_hydrocharidaceae_1	member_meronym	genus_limnobium_1	1	P	1.0	0.0	0.36
frostiness_1	type_of	white_3	1	P	1.0	0.0	0.29
blinker_2	part_of	electrical_system_2	1	P	1.0	0.0	0.05
people_3	has_instance	maimed_1	1	P	1.0	0.0	0.06
columbus_day_1	part_of	oct_1	1	P	1.0	0.0	0.97
class_tardigrada_1	member_meronym	tardigrade_1	1	P	1.0	0.0	0.45
irish_pound_1	has_part	penny_1	1	P	1.0	0.0	0.74
loins_2	part_of	body_5	1	P	1.0	0.0	0.18
scorpaenid_1	has_instance	stonefish_1	1	P	1.0	0.0	0.81
minstrel_show_1	member_meronym	minstrel_2	1	P	1.0	0.0	1.0
mythology_1	domain_region	diffusion_1	1	P	1.0	0.0	0.14
arcidae_1	member_meronym	arca_1	1	P	1.0	0.0	0.73
leucothoe_racemosa_1	type_of	bush_1	1	P	1.0	0.0	0.54
genus_peireskia_1	type_of	caryophylloid_dicot_genus_1	1	P	1.0	0.0	0.06
constituent_3	part_of	sentence_2	1	P	1.0	0.0	0.89
bucerotidae_1	member_meronym	buceros_1	1	P	1.0	0.0	0.66
language_5	part_of	song_1	1	P	1.0	0.0	0.51
education_3	type_of	acquisition_3	1	P	1.0	0.0	0.85
burma_1	domain_topic	sino_tibetan_1	1	P	1.0	0.0	0.75
plant_order_1	has_instance	order_pandanales_1	1	P	1.0	0.0	0.63
marketing_2	type_of	commerce_1	1	P	1.0	0.0	0.01
blow_7	has_instance	bang_1	1	P	1.0	0.0	0.73
elops_1	member_meronym	elops_saurus_1	1	P	1.0	0.0	0.8
philosophy_2	domain_region	platonism_1	1	P	1.0	0.0	0.17
genus_ranunculus_1	member_meronym	ranunculus_glaberrimus_1	1	P	1.0	0.0	0.57
genus_oxylebius_1	member_meronym	convict_fish_1	1	P	1.0	0.0	0.5
dicot_genus_1	has_instance	genus_halenia_1	1	P	1.0	0.0	0.83
reptile_family_1	has_instance	family_pygopodidae_1	1	P	1.0	0.0	0.84
papaya_2	part_of	carica_papaya_1	1	P	1.0	0.0	0.61
dilleniid_dicot_genus_1	has_instance	genus_hugueninia_1	1	P	1.0	0.0	0.27
chair_1	has_instance	side_chair_1	1	P	1.0	0.0	0.14
gem_1	has_instance	transparent_gem_1	1	P	1.0	0.0	0.82
bear_6	has_instance	asiatic_black_bear_1	1	P	1.0	0.0	0.66
time_unit_1	has_instance	60_minutes_1	1	P	1.0	0.0	0.68
water_snake_1	has_instance	water_moccasin_2	1	P	1.0	0.0	0.88
genus_oryx_1	member_meronym	oryx_1	1	P	1.0	0.0	0.05
mandatory_injunction_1	type_of	cease_and_desist_order_1	1	P	1.0	0.0	0.04
dicot_genus_1	has_instance	genus_myrica_1	1	P	1.0	0.0	0.78
belch_1	type_of	ejection_1	1	P	1.0	0.0	0.17
take_21	has_instance	despoil_1	1	P	1.0	0.0	0.86
actor_1	has_instance	sir_herbert_beerbohm_tree_1	1	P	1.0	0.0	0.45
loosestrife_1	has_instance	lythrum_salicaria_1	1	P	1.0	0.0	0.93
dodo_2	type_of	columbiform_bird_1	1	P	1.0	0.0	0.46
islamic_calendar_month_1	has_instance	rabi_ii_1	1	P	1.0	0.0	0.18
pump_7	has_instance	oil_pump_1	1	P	1.0	0.0	0.93
lance_2	has_instance	javelin_1	1	P	1.0	0.0	0.4
charadrii_1	member_meronym	family_glareolidae_1	1	P	1.0	0.0	0.42
genus_oryza_1	member_meronym	rice_2	1	P	1.0	0.0	0.6
beating_2	type_of	corporal_punishment_1	1	P	1.0	0.0	0.63
national_leader_1	has_instance	arthur_wellesley_1	1	P	1.0	0.0	0.82
point_of_entry_1	has_instance	city_of_the_angels_1	1	P	1.0	0.0	0.27
nave_1	type_of	area_2	1	P	1.0	0.0	0.82
herb_1	has_instance	darmera_peltata_1	1	P	1.0	0.0	0.23
thinness_5	has_instance	fluidity_1	1	P	1.0	0.0	0.02
jan_christian_smuts_1	subordinate_instance_of	soldier_2	1	P	1.0	0.0	0.83
electronics_1	type_of	natural_philosophy_1	1	P	1.0	0.0	0.4
coda_1	part_of	composition_4	1	P	1.0	0.0	0.01
asterid_dicot_genus_1	has_instance	bidens_1	1	P	1.0	0.0	0.12
curve_1	has_instance	peel_off_2	1	P	1.0	0.0	0.02
garget_1	type_of	pokeweed_1	1	P	1.0	0.0	0.33
aroid_1	has_instance	dracontium_1	1	P	1.0	0.0	0.34
feeling_5	has_instance	cutaneous_sensation_1	1	P	1.0	0.0	0.65
monosaccharide_1	has_instance	hexose_1	1	P	1.0	0.0	0.78
social_unit_1	has_instance	instrumentality_1	1	P	1.0	0.0	0.74
crawdad_1	part_of	american_crayfish_1	1	P	1.0	0.0	0.29
san_bernadino_1	part_of	ca_2	1	P	1.0	0.0	0.47
jurisprudence_2	domain_region	affidavit_1	1	P	1.0	0.0	0.28
squash_4	domain_region	serve_16	1	P	1.0	0.0	0.95
republic_of_venezuela_1	member_meronym	venezuelan_1	1	P	1.0	0.0	0.66
area_2	has_instance	choir_3	1	P	1.0	0.0	0.57
bodily_cavity_1	has_instance	blastocele_1	1	P	1.0	0.0	0.75
coreidae_1	member_meronym	coreid_1	1	P	1.0	0.0	1.0
eubacteriales_1	member_meronym	corynebacteriaceae_1	1	P	1.0	0.0	0.88
gamma_hydroxybutyrate_1	type_of	club_drug_1	1	P	1.0	0.0	0.48
guestroom_1	type_of	bedchamber_1	1	P	1.0	0.0	0.15
heel_6	has_part	achilles_tendon_1	1	P	1.0	0.0	0.36
ratchet_screwdriver_1	type_of	screwdriver_1	1	P	1.0	0.0	0.81
oscillation_1	has_instance	libration_1	1	P	1.0	0.0	0.34
chest_2	has_part	lid_2	1	P	1.0	0.0	0.37
argentina_1	subordinate_instance_of	south_american_country_1	1	P	1.0	0.0	0.27
beating_2	has_instance	flagellation_1	1	P	1.0	0.0	0.86
deciliter_1	has_part	centiliter_1	1	P	1.0	0.0	0.1
contemplation_2	has_instance	meditation_2	1	P	1.0	0.0	0.97
hanseatic_league_1	member_meronym	bergen_1	1	P	1.0	0.0	0.44
genus_mirabilis_1	type_of	caryophylloid_dicot_genus_1	1	P	1.0	0.0	0.79
bishopric_1	has_part	parish_2	1	P	1.0	0.0	0.93
biological_science_1	domain_region	cataplasia_1	1	P	1.0	0.0	0.1
church_2	has_part	sacristy_1	1	P	1.0	0.0	0.44
clean_7	similar_to	pure_1	1	P	1.0	0.0	0.1
malacopterygii_1	member_meronym	family_lampridae_1	1	P	1.0	0.0	0.84
paintball_gun_1	type_of	game_equipment_1	1	P	1.0	0.0	0.51
guard_10	type_of	assignment_1	1	P	1.0	0.0	0.15
benjamin_franklin_1	subordinate_instance_of	american_revolutionary_leader_1	1	P	1.0	0.0	0.06
anatolia_1	has_part	bithynia_1	1	P	1.0	0.0	0.95
jurisprudence_2	domain_region	false_pretence_1	1	P	1.0	0.0	0.91
quality_1	has_instance	inaccuracy_1	1	P	1.0	0.0	0.95
design_6	type_of	creating_by_mental_acts_1	1	P	1.0	0.0	0.35
malaysian_1	type_of	asian_1	1	P	1.0	0.0	0.23
depth_1	type_of	extent_2	1	P	1.0	0.0	0.09
deed_2	has_instance	enfeoffment_1	1	P	1.0	0.0	0.92
cell_death_1	type_of	death_2	1	P	1.0	0.0	0.21
vaishnavism_1	type_of	religious_order_1	1	P	1.0	0.0	0.29
poland_1	has_part	capital_of_poland_1	1	P	1.0	0.0	0.33
ak_1	has_part	denali_fault_1	1	P	1.0	0.0	0.55
italian_region_1	has_instance	lombardia_1	1	P	1.0	0.0	0.39
religious_order_1	has_instance	shua_1	1	P	1.0	0.0	0.33
chemical_science_1	domain_region	clean_4	1	P	1.0	0.0	0.35
genus_loxia_1	type_of	bird_genus_1	1	P	1.0	0.0	0.46
port_5	has_instance	bridgeport_1	1	P	1.0	0.0	0.33
scorpaenoid_1	has_instance	flathead_1	1	P	1.0	0.0	0.18
meerkat_1	type_of	viverrine_1	1	P	1.0	0.0	0.32
tape_5	type_of	recording_3	1	P	1.0	0.0	0.9
african_country_1	has_instance	al_magrib_1	1	P	1.0	0.0	0.89
area_3	has_instance	waist_1	1	P	1.0	0.0	0.19
digital_scanner_1	type_of	electronic_device_1	1	P	1.0	0.0	0.15
ancylidae_1	member_meronym	ancylus_1	1	P	1.0	0.0	0.42
financial_crimes_enforcement_network_1	type_of	law_enforcement_agency_1	1	P	1.0	0.0	0.32
automation_1	type_of	high_tech_1	1	P	1.0	0.0	0.79
board_game_1	has_instance	shove_ha_penny_1	1	P	1.0	0.0	0.4
goblin_1	type_of	evil_spirit_1	1	P	1.0	0.0	0.51
occlusion_3	type_of	position_9	1	P	1.0	0.0	0.22
ceratophyllum_1	type_of	magnoliid_dicot_genus_1	1	P	1.0	0.0	0.24
mud_dauber_1	type_of	sphecoid_1	1	P	1.0	0.0	0.33
sciaenid_1	has_instance	croaker_1	1	P	1.0	0.0	0.5
crab_3	has_instance	cancer_irroratus_1	1	P	1.0	0.0	0.53
reenforce_1	has_instance	bolster_1	1	P	1.0	0.0	0.35
wrasse_1	has_instance	achoerodus_gouldii_1	1	P	1.0	0.0	0.53
carduelinae_1	type_of	bird_family_1	1	P	1.0	0.0	0.22
fungus_order_1	has_instance	hypocreales_1	1	P	1.0	0.0	0.19
dilleniid_dicot_family_1	has_instance	clethraceae_1	1	P	1.0	0.0	0.47
quo_warranto_1	type_of	hearing_1	1	P	1.0	0.0	0.19
dinner_dress_1	type_of	gown_2	1	P	1.0	0.0	0.21
sep_1	has_part	michaelmas_1	1	P	1.0	0.0	0.69
aeronautics_1	domain_region	dynamic_balance_1	1	P	1.0	0.0	0.05
footer_2	type_of	traveler_1	1	P	1.0	0.0	0.73
misbehavior_1	has_instance	indiscretion_1	1	P	1.0	0.0	0.32
apple_of_peru_1	type_of	herb_1	1	P	1.0	0.0	0.55
butchery_3	has_instance	alamo_1	1	P	1.0	0.0	0.49
military_hospital_1	type_of	hospital_1	1	P	1.0	0.0	0.2
bulge_3	has_instance	nub_1	1	P	1.0	0.0	0.82
ensete_1	member_meronym	abyssinian_banana_1	1	P	1.0	0.0	0.8
genus_salix_1	member_meronym	prairie_willow_1	1	P	1.0	0.0	0.94
chromatic_color_1	has_instance	blue_1	1	P	1.0	0.0	0.37
mycelia_sterilia_1	member_meronym	form_genus_rhizoctinia_1	1	P	1.0	0.0	0.36
touch_1	has_instance	caress_1	1	P	1.0	0.0	0.93
approach_1	has_instance	close_4	1	P	1.0	0.0	0.96
muishond_1	type_of	weasel_1	1	P	1.0	0.0	0.94
gopher_3	type_of	squirrel_1	1	P	1.0	0.0	0.25
mollusk_genus_1	has_instance	cardium_1	1	P	1.0	0.0	0.12
senora_1	type_of	form_of_address_1	1	P	1.0	0.0	0.89
unit_6	has_instance	artefact_1	1	P	1.0	0.0	0.17
canvas_5	type_of	gym_mat_1	1	P	1.0	0.0	0.27
caucasian_1	has_instance	white_woman_1	1	P	1.0	0.0	0.21
genus_limenitis_1	member_meronym	banded_purple_1	1	P	1.0	0.0	0.73
absorb_9	has_instance	consume_3	1	P	1.0	0.0	0.03
receiver_3	part_of	phone_2	1	P	1.0	0.0	0.01
dance_2	has_instance	conga_1	1	P	1.0	0.0	0.81
boehmeria_1	member_meronym	boehmeria_nivea_1	1	P	1.0	0.0	0.11
sell_1	has_instance	auction_1	1	P	1.0	0.0	0.99
discourse_5	type_of	communicating_1	1	P	1.0	0.0	0.49
jacket_6	type_of	peel_5	1	P	1.0	0.0	0.17
proboscidean_1	has_instance	mastodon_1	1	P	1.0	0.0	0.88
side_6	has_instance	larboard_1	1	P	1.0	0.0	0.48
carya_illinoensis_1	type_of	nut_tree_1	1	P	1.0	0.0	0.55
argynnis_1	type_of	arthropod_genus_1	1	P	1.0	0.0	0.67
coleoptera_1	member_meronym	anobiidae_1	1	P	1.0	0.0	0.24
transverse_process_1	part_of	vertebra_1	1	P	1.0	0.0	0.13
scheme_3	has_instance	incentive_program_1	1	P	1.0	0.0	0.63
barbarea_1	type_of	dilleniid_dicot_genus_1	1	P	1.0	0.0	0.06
boob_3	part_of	adult_female_body_1	1	P	1.0	0.0	0.56
semitic_deity_1	has_instance	nabu_1	1	P	1.0	0.0	0.15
fern_genus_1	has_instance	genus_pecopteris_1	1	P	1.0	0.0	0.29
islam_2	domain_region	kismat_1	1	P	1.0	0.0	0.85
andres_segovia_1	subordinate_instance_of	guitar_player_1	1	P	1.0	0.0	0.96
sea_bird_1	has_instance	podicipitiform_seabird_1	1	P	1.0	0.0	0.82
defence_1	has_instance	idealisation_1	1	P	1.0	0.0	0.45
conference_1	has_instance	colloquium_1	1	P	1.0	0.0	0.13
platform_1	has_instance	dock_7	1	P	1.0	0.0	0.25
quarter_pound_1	part_of	lbf__1	1	P	1.0	0.0	0.24
concave_shape_1	has_instance	cup_4	1	P	1.0	0.0	0.49
leafless_1	similar_to	scapose_1	1	P	1.0	0.0	0.42
synapse_1	part_of	nerve_2	1	P	1.0	0.0	0.65
decoration_1	has_instance	flower_arrangement_1	1	P	1.0	0.0	0.65
displace_3	has_instance	rake_1	1	P	1.0	0.0	0.52
caltrop_1	has_instance	ling_1	1	P	1.0	0.0	0.96
surveying_instrument_1	has_instance	theodolite_1	1	P	1.0	0.0	0.66
bay_of_biscay_1	part_of	atlantic_1	1	P	1.0	0.0	0.96
mammal_genus_1	has_instance	bettongia_1	1	P	1.0	0.0	0.2
zebrawood_2	type_of	tree_5	1	P	1.0	0.0	0.28
remove_1	has_instance	weed_1	1	P	1.0	0.0	0.01
genus_beroe_1	type_of	ctenophore_genus_1	1	P	1.0	0.0	1.0
make_noise_1	type_of	go_10	1	P	1.0	0.0	0.69
lay_1	has_instance	cock_1	1	P	1.0	0.0	0.34
atropa_1	member_meronym	atropa_belladonna_1	1	P	1.0	0.0	0.85
fat_soluble_vitamin_1	type_of	vitamin_1	1	P	1.0	0.0	0.71
glyceryl_ester_1	type_of	ester_1	1	P	1.0	0.0	0.05
golden_club_1	type_of	aquatic_plant_1	1	P	1.0	0.0	0.44
vascular_tissue_1	type_of	plant_tissue_1	1	P	1.0	0.0	0.67
commencement_2	has_part	baccalaureate_1	1	P	1.0	0.0	0.41
rosid_dicot_genus_1	has_instance	boswellia_1	1	P	1.0	0.0	0.62
jurisdiction_1	has_instance	parish_2	1	P	1.0	0.0	0.8
alcohol_1	has_instance	kava_1	1	P	1.0	0.0	0.72
military_mission_1	type_of	military_operation_1	1	P	1.0	0.0	0.55
coinage_1	type_of	currency_1	1	P	1.0	0.0	0.84
hominoidea_1	member_meronym	genus_kenyapithecus_1	1	P	1.0	0.0	0.51
teuton_1	type_of	german_1	1	P	1.0	0.0	0.45
brush_kangaroo_1	type_of	kangaroo_1	1	P	1.0	0.0	0.12
adult_female_1	has_instance	inamorata_1	1	P	1.0	0.0	0.85
chestnut_oak_1	type_of	oak_2	1	P	1.0	0.0	0.33
deep_south_1	member_meronym	la_2	1	P	1.0	0.0	0.18
taiyuan_1	subordinate_instance_of	city_1	1	P	1.0	0.0	0.5
period_1	has_instance	golden_age_3	1	P	1.0	0.0	0.54
keeper_1	has_instance	gaoler_1	1	P	1.0	0.0	0.01
problem_2	has_instance	hydra_1	1	P	1.0	0.0	0.95
ponte_25_de_abril_1	part_of	capital_of_portugal_1	1	P	1.0	0.0	0.85
figure_10	has_instance	pencil_4	1	P	1.0	0.0	0.77
colorless_2	similar_to	ashen_1	1	P	1.0	0.0	0.26
coati_1	type_of	procyonid_1	1	P	1.0	0.0	0.16
maghreb_1	has_part	republic_of_tunisia_1	1	P	1.0	0.0	0.29
seed_9	has_instance	ash_key_1	1	P	1.0	0.0	0.29
paralipomenon_1	has_part	2_chronicles_1	1	P	1.0	0.0	0.55
unfortunate_1	has_instance	failure_4	1	P	1.0	0.0	0.82
protectionism_1	type_of	economic_policy_1	1	P	1.0	0.0	0.2
clemency_2	has_instance	reprieve_6	1	P	1.0	0.0	0.77
port_5	has_instance	hannover_1	1	P	1.0	0.0	0.26
fennel_1	type_of	herb_1	1	P	1.0	0.0	0.69
family_tachinidae_1	type_of	arthropod_family_1	1	P	1.0	0.0	0.52
historian_1	has_instance	eusebius_1	1	P	1.0	0.0	0.69
tube_5	has_instance	hose_3	1	P	1.0	0.0	0.74
kandahar_1	part_of	afghanistan_1	1	P	1.0	0.0	0.23
grandness_1	has_instance	accent_2	1	P	1.0	0.0	0.84
order_perciformes_1	member_meronym	apogonidae_1	1	P	1.0	0.0	0.28
stalingrad_1	subordinate_instance_of	city_1	1	P	1.0	0.0	0.23
melodic_1	similar_to	cantabile_1	1	P	1.0	0.0	0.96
cryptogram_1	type_of	piece_of_writing_1	1	P	1.0	0.0	0.36
sole_5	has_instance	english_sole_2	1	P	1.0	0.0	0.09
french_door_1	type_of	door_1	1	P	1.0	0.0	0.44
arthropod_family_1	has_instance	family_mantispidae_1	1	P	1.0	0.0	0.36
parasitic_plant_1	has_instance	false_mistletoe_1	1	P	1.0	0.0	0.43
subornation_1	has_instance	subornation_of_perjury_1	1	P	1.0	0.0	0.73
trait_1	has_instance	humbleness_2	1	P	1.0	0.0	0.2
composer_1	has_instance	chopin_2	1	P	1.0	0.0	0.72
cat_sleep_1	type_of	sleeping_3	1	P	1.0	0.0	0.46
memphis_2	part_of	arab_republic_of_egypt_1	1	P	1.0	0.0	0.83
priest_1	has_instance	celebrant_1	1	P	1.0	0.0	0.7
harness_6	has_part	martingale_1	1	P	1.0	0.0	0.48
wild_flower_1	has_instance	narrow_leaf_penstemon_1	1	P	1.0	0.0	0.12
call_11	type_of	demand_8	1	P	1.0	0.0	0.33
giant_water_bug_1	type_of	water_bug_1	1	P	1.0	0.0	0.76
fish_genus_1	has_instance	genus_krypterophaneron_1	1	P	1.0	0.0	0.05
fence_2	has_instance	block_6	1	P	1.0	0.0	0.27
kingdom_of_sweden_1	has_part	capital_of_sweden_1	1	P	1.0	0.0	0.01
genus_microdipodops_1	member_meronym	dwarf_pocket_rat_1	1	P	1.0	0.0	0.09
